,AAPL,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2015-05-13 00:00:00+00:00,126.01,,0.0,,-0.0023749479715006183,,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,"[{'limit_reached': False, 'stop': None, 'status': 0, 'stop_reached': False, 'amount': 100, 'dt': Timestamp('2015-05-13 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 0, 'created': Timestamp('2015-05-13 20:00:00+0000', tz='UTC'), 'commission': 0, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '1a3157eefafb40128f7795b76159d9be'}]",2015-05-13 20:00:00+00:00,2015-05,2015-05-13 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,1,[],0.0
2015-05-14 00:00:00+00:00,128.95,0.000734955052196864,-6.547499999998152e-05,-0.004815549740227909,0.003354307959748226,0.09112256144786834,-0.008065566205767113,-12901.547499999999,87098.4525,12894.999999999998,12894.999999999998,0.0,0.1289584435540917,12894.999999999998,12894.999999999998,1,-6.547499999996375e-05,0.1289584435540917,0.1289584435540917,"[{'limit_reached': False, 'stop': None, 'status': 1, 'stop_reached': False, 'amount': 100, 'dt': Timestamp('2015-05-14 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 100, 'created': Timestamp('2015-05-13 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '1a3157eefafb40128f7795b76159d9be'}, {'limit_reached': False, 'stop': None, 'status': 0, 'stop_reached': False, 'amount': 100, 'dt': Timestamp('2015-05-14 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 0, 'created': Timestamp('2015-05-14 20:00:00+0000', tz='UTC'), 'commission': 0, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '631159e4022b412297d655ee6c987d39'}]",2015-05-14 20:00:00+00:00,2015-05,2015-05-14 13:31:00+00:00,-6.547500000000582,99993.4525,"[{'cost_basis': 129.01547499999998, 'amount': 100, 'last_sale_price': 128.95, 'sid': Equity(8 [AAPL])}]",-6.547499999998152e-05,-11.224972160321826,0.0,0.0,0,-11.224972160321823,100000.0,0.0,0.0,2,"[{'amount': 100, 'commission': None, 'order_id': '1a3157eefafb40128f7795b76159d9be', 'dt': Timestamp('2015-05-14 20:00:00+0000', tz='UTC'), 'price': 129.01447499999998, 'sid': Equity(8 [AAPL])}]",0.0
2015-05-15 00:00:00+00:00,128.77,0.0020171876651202745,-0.0003108600000001349,-0.025831633800437293,0.0031094679626864075,0.06681244222719526,0.0002140967927516864,-12883.538499999997,74214.91399999999,25754.000000000004,25754.000000000004,0.0,0.25762008377924367,25754.000000000004,25754.000000000004,1,-0.0003108600000001616,0.25762008377924367,0.25762008377924367,"[{'limit_reached': False, 'stop': None, 'status': 1, 'stop_reached': False, 'amount': 100, 'dt': Timestamp('2015-05-15 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 100, 'created': Timestamp('2015-05-14 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '631159e4022b412297d655ee6c987d39'}, {'limit_reached': False, 'stop': None, 'status': 0, 'stop_reached': False, 'amount': 100, 'dt': Timestamp('2015-05-15 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 0, 'created': Timestamp('2015-05-15 20:00:00+0000', tz='UTC'), 'commission': 0, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '68876b1a9e424b908b35e9f248bdd2ac'}]",2015-05-15 20:00:00+00:00,2015-05,2015-05-15 13:31:00+00:00,-24.538500000009662,99968.91399999999,"[{'cost_basis': 128.92542999999998, 'amount': 200, 'last_sale_price': 128.77, 'sid': Equity(8 [AAPL])}]",-0.00024540106763504266,-12.945543011629022,0.0,0.0,0,-11.218064268210744,87098.4525,12894.999999999998,12894.999999999998,3,"[{'amount': 100, 'commission': None, 'order_id': '631159e4022b412297d655ee6c987d39', 'dt': Timestamp('2015-05-15 20:00:00+0000', tz='UTC'), 'price': 128.834385, 'sid': Equity(8 [AAPL])}]",0.0
2015-05-18 00:00:00+00:00,130.19,0.022905826397427068,0.0024630450000000526,-0.031438431855636106,0.01718776779374709,0.11667067608410459,0.17314333950179028,-13025.609499999999,61189.30449999999,39057.0,39057.0,0.0,0.38961037212099925,39057.0,39057.0,1,-0.0003108600000001616,0.38961037212099925,0.38961037212099925,"[{'limit_reached': False, 'stop': None, 'status': 1, 'stop_reached': False, 'amount': 100, 'dt': Timestamp('2015-05-18 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 100, 'created': Timestamp('2015-05-15 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '68876b1a9e424b908b35e9f248bdd2ac'}, {'limit_reached': False, 'stop': None, 'status': 0, 'stop_reached': False, 'amount': 100, 'dt': Timestamp('2015-05-18 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 0, 'created': Timestamp('2015-05-18 20:00:00+0000', tz='UTC'), 'commission': 0, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': 'f0da3613d9394f78a4f0c214e42b0108'}]",2015-05-18 20:00:00+00:00,2015-05,2015-05-18 13:31:00+00:00,277.3905000000086,100246.3045,"[{'cost_basis': 129.36898499999998, 'amount': 300, 'last_sale_price': 130.19, 'sid': Equity(8 [AAPL])}]",0.0027747675642451064,6.776667280769713,0.0,0.0,0,76.99860275720033,74214.91399999999,25754.000000000004,25754.000000000004,4,"[{'amount': 100, 'commission': None, 'order_id': '68876b1a9e424b908b35e9f248bdd2ac', 'dt': Timestamp('2015-05-18 20:00:00+0000', tz='UTC'), 'price': 130.255095, 'sid': Equity(8 [AAPL])}]",0.0
2015-05-19 00:00:00+00:00,130.07,0.021168871102330917,0.0020370100000000058,0.020759090157048465,0.010968831868374274,0.12515577247950369,0.14769183873433306,-13013.603499999997,48175.700999999994,52028.0,52028.0,0.0,0.5192223389034303,52028.0,52028.0,1,-0.0004249882348532127,0.5192223389034303,0.5192223389034303,"[{'limit_reached': False, 'stop': None, 'status': 1, 'stop_reached': False, 'amount': 100, 'dt': Timestamp('2015-05-19 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 100, 'created': Timestamp('2015-05-18 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': 'f0da3613d9394f78a4f0c214e42b0108'}, {'limit_reached': False, 'stop': None, 'status': 0, 'stop_reached': False, 'amount': 100, 'dt': Timestamp('2015-05-19 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 0, 'created': Timestamp('2015-05-19 20:00:00+0000', tz='UTC'), 'commission': 0, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '0a4d8e22317947448e343910d3345271'}]",2015-05-19 20:00:00+00:00,2015-05,2015-05-19 13:31:00+00:00,-42.60349999999744,100203.701,"[{'cost_basis': 129.5607475, 'amount': 400, 'last_sale_price': 130.07, 'sid': Equity(8 [AAPL])}]",-0.00042498823485315196,4.8543318108840605,0.0,0.0,0,29.236088854687996,61189.30449999999,39057.0,39057.0,5,"[{'amount': 100, 'commission': None, 'order_id': 'f0da3613d9394f78a4f0c214e42b0108', 'dt': Timestamp('2015-05-19 20:00:00+0000', tz='UTC'), 'price': 130.135035, 'sid': Equity(8 [AAPL])}]",0.0
2015-05-20 00:00:00+00:00,130.06,0.01922435019015332,0.0019309800000000266,-0.01435886874684933,0.01669808779962323,0.11416410550942069,0.1362768399925061,-13012.603000000003,35163.09799999999,65030.0,65030.0,0.0,0.6490467037959042,65030.0,65030.0,1,-0.0005307577198519244,0.6490467037959042,0.6490467037959042,"[{'limit_reached': False, 'stop': None, 'status': 1, 'stop_reached': False, 'amount': 100, 'dt': Timestamp('2015-05-20 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 100, 'created': Timestamp('2015-05-19 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '0a4d8e22317947448e343910d3345271'}, {'limit_reached': False, 'stop': None, 'status': 0, 'stop_reached': False, 'amount': 100, 'dt': Timestamp('2015-05-20 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 0, 'created': Timestamp('2015-05-20 20:00:00+0000', tz='UTC'), 'commission': 0, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '330dbad8f6494b54998b2f17b54a77d3'}]",2015-05-20 20:00:00+00:00,2015-05,2015-05-20 13:31:00+00:00,-10.603000000002794,100193.098,"[{'cost_basis': 129.67380399999996, 'amount': 500, 'last_sale_price': 130.06, 'sid': Equity(8 [AAPL])}]",-0.00010581445489721286,4.223275641831232,0.0,0.0,0,24.74485428034342,48175.700999999994,52028.0,52028.0,6,"[{'amount': 100, 'commission': None, 'order_id': '0a4d8e22317947448e343910d3345271', 'dt': Timestamp('2015-05-20 20:00:00+0000', tz='UTC'), 'price': 130.12503, 'sid': Equity(8 [AAPL])}]",0.0
2015-05-21 00:00:00+00:00,131.39000000000001,0.041394756902551066,0.008514285000000177,0.38115965997517387,0.009793599882477189,0.11900700080460475,-0.0475912570917242,-13145.66950000001,22017.42849999999,78834.00000000001,78834.00000000001,0.0,0.781684515257015,78834.00000000001,78834.00000000001,1,-0.0005307577198519244,0.781684515257015,0.781684515257015,"[{'limit_reached': False, 'stop': None, 'status': 1, 'stop_reached': False, 'amount': 100, 'dt': Timestamp('2015-05-21 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 100, 'created': Timestamp('2015-05-20 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '330dbad8f6494b54998b2f17b54a77d3'}, {'limit_reached': False, 'stop': None, 'status': 0, 'stop_reached': False, 'amount': 100, 'dt': Timestamp('2015-05-21 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 0, 'created': Timestamp('2015-05-21 20:00:00+0000', tz='UTC'), 'commission': 0, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '4da998957e674ed68b014935953f8e85'}]",2015-05-21 20:00:00+00:00,2015-05,2015-05-21 13:31:00+00:00,658.3305000000109,100851.42850000001,"[{'cost_basis': 129.97095249999998, 'amount': 600, 'last_sale_price': 131.39000000000001, 'sid': Equity(8 [AAPL])}]",0.006570617269465062,7.395463620389706,0.0,0.0,0,100.77851170652508,35163.09799999999,65030.0,65030.0,7,"[{'amount': 100, 'commission': None, 'order_id': '330dbad8f6494b54998b2f17b54a77d3', 'dt': Timestamp('2015-05-21 20:00:00+0000', tz='UTC'), 'price': 131.45569500000002, 'sid': Equity(8 [AAPL])}]",0.0
2015-05-22 00:00:00+00:00,132.54,0.04942262147821826,0.015347014999999908,0.6222218605692289,0.014078299831060681,0.11131476721331642,-0.006680886909845392,-13260.726999999999,8756.70149999999,92778.0,92778.0,0.0,0.9137565643013192,92778.0,92778.0,1,-0.0005307577198519244,0.9137565643013192,0.9137565643013192,"[{'limit_reached': False, 'stop': None, 'status': 1, 'stop_reached': False, 'amount': 100, 'dt': Timestamp('2015-05-22 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 100, 'created': Timestamp('2015-05-21 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '4da998957e674ed68b014935953f8e85'}, {'limit_reached': False, 'stop': None, 'status': 0, 'stop_reached': False, 'amount': -100, 'dt': Timestamp('2015-05-22 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 0, 'created': Timestamp('2015-05-22 20:00:00+0000', tz='UTC'), 'commission': 0, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': 'd06b4aa70e5541b892a43b77c1a77fac'}]",2015-05-22 20:00:00+00:00,2015-05,2015-05-22 13:31:00+00:00,683.2729999999865,101534.7015,"[{'cost_basis': 130.3475692857143, 'amount': 700, 'last_sale_price': 132.54, 'sid': Equity(8 [AAPL])}]",0.006775045333145435,9.73806437221109,0.0,0.0,0,169.37589029817678,22017.42849999999,78834.00000000001,78834.00000000001,8,"[{'amount': 100, 'commission': None, 'order_id': '4da998957e674ed68b014935953f8e85', 'dt': Timestamp('2015-05-22 20:00:00+0000', tz='UTC'), 'price': 132.60627, 'sid': Equity(8 [AAPL])}]",0.0
2015-05-26 00:00:00+00:00,129.62,0.12577684937453296,-0.00515879500000016,-0.1736272095926229,0.0035746639571043737,0.12231428443659553,0.49693223116391094,12955.418999999994,21712.12049999999,77772.0,77772.0,0.0,0.781752902967062,77772.0,77772.0,1,-0.020195863775696512,0.9137565643013192,0.781752902967062,"[{'limit_reached': False, 'stop': None, 'status': 1, 'stop_reached': False, 'amount': -100, 'dt': Timestamp('2015-05-26 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': -100, 'created': Timestamp('2015-05-22 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': 'd06b4aa70e5541b892a43b77c1a77fac'}, {'limit_reached': False, 'stop': None, 'status': 0, 'stop_reached': False, 'amount': -100, 'dt': Timestamp('2015-05-26 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 0, 'created': Timestamp('2015-05-26 20:00:00+0000', tz='UTC'), 'commission': 0, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': 'ba38760489344417ab3ee96a2e595ae3'}]",2015-05-26 20:00:00+00:00,2015-05,2015-05-26 13:31:00+00:00,-2050.5810000000056,99484.12049999999,"[{'cost_basis': 130.34773595238096, 'amount': 600, 'last_sale_price': 129.62, 'sid': Equity(8 [AAPL])}]",-0.020195863775696488,-1.0946302673265456,0.0,0.0,0,-1.287924179013832,8756.70149999999,92778.0,92778.0,9,"[{'amount': -100, 'commission': None, 'order_id': 'd06b4aa70e5541b892a43b77c1a77fac', 'dt': Timestamp('2015-05-26 20:00:00+0000', tz='UTC'), 'price': 129.55519, 'sid': Equity(8 [AAPL])}]",0.0
2015-05-27 00:00:00+00:00,132.04500000000002,0.14075254517806976,0.009324182500000111,-0.03677755315213094,0.01669808779962345,0.1316565759151769,0.6591224923582052,13197.797750000005,34909.918249999995,66022.50000000001,66022.50000000001,0.0,0.6541258115550996,66022.50000000001,66022.50000000001,1,-0.020195863775696512,0.9137565643013192,0.6541258115550996,"[{'limit_reached': False, 'stop': None, 'status': 1, 'stop_reached': False, 'amount': -100, 'dt': Timestamp('2015-05-27 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': -100, 'created': Timestamp('2015-05-26 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': 'ba38760489344417ab3ee96a2e595ae3'}, {'limit_reached': False, 'stop': None, 'status': 0, 'stop_reached': False, 'amount': -100, 'dt': Timestamp('2015-05-27 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 0, 'created': Timestamp('2015-05-27 20:00:00+0000', tz='UTC'), 'commission': 0, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '7fe0faf597da497cab67078e516f3ab1'}]",2015-05-27 20:00:00+00:00,2015-05,2015-05-27 13:31:00+00:00,1448.297750000027,100932.41825000002,"[{'cost_basis': 130.34793595238096, 'amount': 500, 'last_sale_price': 132.04500000000002, 'sid': Equity(8 [AAPL])}]",0.014558079648500533,1.7260957889318866,0.0,0.0,0,2.39564260083899,21712.12049999999,77772.0,77772.0,10,"[{'amount': -100, 'commission': None, 'order_id': 'ba38760489344417ab3ee96a2e595ae3', 'dt': Timestamp('2015-05-27 20:00:00+0000', tz='UTC'), 'price': 131.9789775, 'sid': Equity(8 [AAPL])}]",0.0
2015-05-28 00:00:00+00:00,131.78,0.13399973032621884,0.007932292499999827,0.24828204924508457,-0.003819503954165415,0.1629611675579952,0.4313953021218232,13171.311000000002,48081.22925,52712.0,52712.0,0.0,0.5229716360139339,52712.0,52712.0,1,-0.020195863775696512,0.9137565643013192,0.5229716360139339,"[{'limit_reached': False, 'stop': None, 'status': 1, 'stop_reached': False, 'amount': -100, 'dt': Timestamp('2015-05-28 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': -100, 'created': Timestamp('2015-05-27 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '7fe0faf597da497cab67078e516f3ab1'}, {'limit_reached': False, 'stop': None, 'status': 0, 'stop_reached': False, 'amount': -100, 'dt': Timestamp('2015-05-28 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 0, 'created': Timestamp('2015-05-28 20:00:00+0000', tz='UTC'), 'commission': 0, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '0281f5a071f746d2bebca8f6ba864865'}]",2015-05-28 20:00:00+00:00,2015-05,2015-05-28 13:31:00+00:00,-139.18900000001304,100793.22925,"[{'cost_basis': 130.34818595238096, 'amount': 400, 'last_sale_price': 131.78, 'sid': Equity(8 [AAPL])}]",-0.0013790316571556938,1.4124911584532063,0.0,0.0,0,1.952888321626304,34909.918249999995,66022.50000000001,66022.50000000001,11,"[{'amount': -100, 'commission': None, 'order_id': '7fe0faf597da497cab67078e516f3ab1', 'dt': Timestamp('2015-05-28 20:00:00+0000', tz='UTC'), 'price': 131.71411, 'sid': Equity(8 [AAPL])}]",0.0
2015-05-29 00:00:00+00:00,130.28,0.13147591121579835,0.0018661524999998846,0.22403293788024636,-0.017163283794039863,0.16656309114152149,0.4425000362023089,13021.385999999999,61102.615249999995,39084.0,39084.0,0.0,0.3901119915317231,39084.0,39084.0,1,-0.020195863775696512,0.9137565643013192,0.3901119915317231,"[{'limit_reached': False, 'stop': None, 'status': 1, 'stop_reached': False, 'amount': -100, 'dt': Timestamp('2015-05-29 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': -100, 'created': Timestamp('2015-05-28 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '0281f5a071f746d2bebca8f6ba864865'}, {'limit_reached': False, 'stop': None, 'status': 0, 'stop_reached': False, 'amount': -100, 'dt': Timestamp('2015-05-29 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 0, 'created': Timestamp('2015-05-29 20:00:00+0000', tz='UTC'), 'commission': 0, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': 'c85d15b1041a4ad28e4bc0f1fc15b22b'}]",2015-05-29 20:00:00+00:00,2015-05,2015-05-29 13:31:00+00:00,-606.6140000000014,100186.61525,"[{'cost_basis': 130.34851928571427, 'amount': 300, 'last_sale_price': 130.28, 'sid': Equity(8 [AAPL])}]",-0.006018400288529291,0.3583488536622019,0.0,0.0,0,0.48669000017541825,48081.22925,52712.0,52712.0,12,"[{'amount': -100, 'commission': None, 'order_id': '0281f5a071f746d2bebca8f6ba864865', 'dt': Timestamp('2015-05-29 20:00:00+0000', tz='UTC'), 'price': 130.21486, 'sid': Equity(8 [AAPL])}]",0.0
2015-06-01 00:00:00+00:00,130.535,0.12589866371080202,0.0025648849999999612,0.28605759909068396,-0.023627059716474608,0.1610980532194953,0.4316352444271182,13046.87325,74149.48849999999,26107.0,26107.0,0.0,0.26040209856342617,26107.0,26107.0,1,-0.020195863775696512,0.9137565643013192,0.26040209856342617,"[{'limit_reached': False, 'stop': None, 'status': 1, 'stop_reached': False, 'amount': -100, 'dt': Timestamp('2015-06-01 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': -100, 'created': Timestamp('2015-05-29 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': 'c85d15b1041a4ad28e4bc0f1fc15b22b'}, {'limit_reached': False, 'stop': None, 'status': 0, 'stop_reached': False, 'amount': -100, 'dt': Timestamp('2015-06-01 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 0, 'created': Timestamp('2015-06-01 20:00:00+0000', tz='UTC'), 'commission': 0, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '22f0002e2b324daebfe3f15fbfa04dfd'}]",2015-06-01 20:00:00+00:00,2015-06,2015-06-01 13:31:00+00:00,69.87324999998964,100256.48849999999,"[{'cost_basis': 130.34901928571426, 'amount': 200, 'last_sale_price': 130.535, 'sid': Equity(8 [AAPL])}]",0.0006974309874192564,0.45282054129634236,0.0,0.0,0,0.6129548803841565,61102.615249999995,39084.0,39084.0,13,"[{'amount': -100, 'commission': None, 'order_id': 'c85d15b1041a4ad28e4bc0f1fc15b22b', 'dt': Timestamp('2015-06-01 20:00:00+0000', tz='UTC'), 'price': 130.4697325, 'sid': Equity(8 [AAPL])}]",0.0
2015-06-02 00:00:00+00:00,129.96,0.1211135184410119,0.0013489049999999558,0.18405848495425814,-0.01907303577112296,0.15718157403058525,0.41176824477116125,12989.402000000002,87138.8905,12996.0,12996.0,0.0,0.12978493245568587,12996.0,12996.0,1,-0.020195863775696512,0.9137565643013192,0.12978493245568587,"[{'limit_reached': False, 'stop': None, 'status': 1, 'stop_reached': False, 'amount': -100, 'dt': Timestamp('2015-06-02 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': -100, 'created': Timestamp('2015-06-01 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '22f0002e2b324daebfe3f15fbfa04dfd'}, {'limit_reached': False, 'stop': None, 'status': 0, 'stop_reached': False, 'amount': -100, 'dt': Timestamp('2015-06-02 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 0, 'created': Timestamp('2015-06-02 20:00:00+0000', tz='UTC'), 'commission': 0, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '681f8958b5f7476aa754c1e5c9a8e3c6'}]",2015-06-02 20:00:00+00:00,2015-06,2015-06-02 13:31:00+00:00,-121.59799999999814,100134.8905,"[{'cost_basis': 130.35001928571427, 'amount': 100, 'last_sale_price': 129.96, 'sid': Equity(8 [AAPL])}]",-0.001212869130161054,0.2568313586266144,0.0,0.0,0,0.34649712810068056,74149.48849999999,26107.0,26107.0,14,"[{'amount': -100, 'commission': None, 'order_id': '22f0002e2b324daebfe3f15fbfa04dfd', 'dt': Timestamp('2015-06-02 20:00:00+0000', tz='UTC'), 'price': 129.89502000000002, 'sid': Equity(8 [AAPL])}]",0.0
2015-06-03 00:00:00+00:00,130.12,0.11670796977290726,0.0014428449999999149,0.17453272449745705,-0.01931787576818489,0.15152854949318276,0.4113938620887079,13005.394000000002,100144.2845,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.020195863775696512,0.9137565643013192,0.0,"[{'limit_reached': False, 'stop': None, 'status': 1, 'stop_reached': False, 'amount': -100, 'dt': Timestamp('2015-06-03 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': -100, 'created': Timestamp('2015-06-02 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '681f8958b5f7476aa754c1e5c9a8e3c6'}, {'limit_reached': False, 'stop': None, 'status': 0, 'stop_reached': False, 'amount': -100, 'dt': Timestamp('2015-06-03 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 0, 'created': Timestamp('2015-06-03 20:00:00+0000', tz='UTC'), 'commission': 0, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': 'aa2fa2cda51d42e98fa6a4f4adc56a39'}]",2015-06-03 20:00:00+00:00,2015-06,2015-06-03 13:31:00+00:00,9.394000000000233,100144.2845,[],9.381345456205281e-05,0.26226228553917935,0.0,0.0,0,0.35292054144823554,87138.8905,12996.0,12996.0,15,"[{'amount': -100, 'commission': None, 'order_id': '681f8958b5f7476aa754c1e5c9a8e3c6', 'dt': Timestamp('2015-06-03 20:00:00+0000', tz='UTC'), 'price': 130.05494000000002, 'sid': Equity(8 [AAPL])}]",0.0
2015-06-04 00:00:00+00:00,129.36,0.11275305418405647,0.001377165000000069,0.24302963857747795,-0.032686139607765674,0.1544085057500086,0.3713070434435501,12929.432,113073.7165,-12936.000000000002,-12936.000000000002,0.0,0.12918209494022168,0.0,0.0,0,-0.020195863775696512,0.9137565643013192,-0.12918209494022168,"[{'limit_reached': False, 'stop': None, 'status': 1, 'stop_reached': False, 'amount': -100, 'dt': Timestamp('2015-06-04 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': -100, 'created': Timestamp('2015-06-03 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': 'aa2fa2cda51d42e98fa6a4f4adc56a39'}, {'limit_reached': False, 'stop': None, 'status': 0, 'stop_reached': False, 'amount': -100, 'dt': Timestamp('2015-06-04 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 0, 'created': Timestamp('2015-06-04 20:00:00+0000', tz='UTC'), 'commission': 0, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': 'ecd820d48eae425aae682f1aedcbd1d4'}]",2015-06-04 20:00:00+00:00,2015-06,2015-06-04 13:31:00+00:00,-6.5679999999993015,100137.7165,"[{'cost_basis': 129.29432, 'amount': -100, 'last_sale_price': 129.36, 'sid': Equity(8 [AAPL])}]",-6.558537047596236e-05,0.24533369253393744,-12936.000000000002,-12936.000000000002,1,0.3294112042017203,100144.2845,0.0,0.0,16,"[{'amount': -100, 'commission': None, 'order_id': 'aa2fa2cda51d42e98fa6a4f4adc56a39', 'dt': Timestamp('2015-06-04 20:00:00+0000', tz='UTC'), 'price': 129.29532, 'sid': Equity(8 [AAPL])}]",0.0
2015-06-05 00:00:00+00:00,128.65,0.10919203418969581,0.0020218400000000525,0.2749721955401201,-0.0381705555419527,0.1501605694593001,0.36679629038444134,12858.4675,125932.184,-25730.0,-25730.0,0.0,0.2567808302461751,0.0,0.0,0,-0.020195863775696512,0.9137565643013192,-0.2567808302461751,"[{'limit_reached': False, 'stop': None, 'status': 1, 'stop_reached': False, 'amount': -100, 'dt': Timestamp('2015-06-05 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': -100, 'created': Timestamp('2015-06-04 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': 'ecd820d48eae425aae682f1aedcbd1d4'}, {'limit_reached': False, 'stop': None, 'status': 0, 'stop_reached': False, 'amount': -100, 'dt': Timestamp('2015-06-05 20:00:00+0000', tz='UTC'), 'limit': None, 'filled': 0, 'created': Timestamp('2015-06-05 20:00:00+0000', tz='UTC'), 'commission': 0, 'reason': None, 'sid': Equity(8 [AAPL]), 'id': '0027a97b123d431fbd83ac2211940d4b'}]",2015-06-05 20:00:00+00:00,2015-06,2015-06-05 13:31:00+00:00,64.46749999999884,100202.184,"[{'cost_basis': 128.93949750000002, 'amount': -200, 'last_sale_price': 128.65, 'sid': Equity(8 [AAPL])}]",0.0006437883971519565,0.3258310546023913,-25730.0,-25730.0,1,0.4367176624811957,113073.7165,-12936.000000000002,-12936.000000000002,17,"[{'amount': -100, 'commission': None, 'order_id': 'ecd820d48eae425aae682f1aedcbd1d4', 'dt': Timestamp('2015-06-05 20:00:00+0000', tz='UTC'), 'price': 128.585675, 'sid': Equity(8 [AAPL])}]",0.0
